Food class level 1,Metrics,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels
,Country,Finland,Finland,France,France,Germany,Germany,Italy,Italy,Netherlands,Netherlands,Sweden,Sweden,United Kingdom,United Kingdom
,Food (FoodEx2 description),Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram
,"Instant coffee powder, decaffeinated, QUAL Low / Reduced sugar",17.3,4271.906,17.3,4272.568,17.3,4272.568,17.3,4272.568,17.3,4271.906,17.3,4271.906,17.3,4272.568
,"Instant coffee powder, decaffeinated, QUAL Sugar free",17.3,4271.906,17.3,4272.568,17.3,4272.568,17.3,4272.568,17.3,4271.906,17.3,4271.906,17.3,4272.568
,"Instant coffee powder, QUAL Low / Reduced sugar",0.03,4.243,0.03,4907.649,0.03,4907.649,0.03,4907.649,0.03,4.243,0.03,4.243,0.03,4907.649
,"Instant coffee powder, QUAL Sugar free",0.03,4.243,0.03,4907.649,0.03,4907.649,0.03,4907.649,0.03,4.243,0.03,4.243,0.03,4907.649
,Jasmine infusion,0.1,12.189,0.1,12.189,0.1,12.189,0.1,12.189,0.1,12.189,0.1,12.189,0.1,12.189
,Malt coffee infusion,1.1,60.45,1.1,60.45,1.1,60.45,1.1,60.45,1.1,60.45,1.1,60.45,1.1,60.45
,Mixed coffee imitates,9.4,792.16,9.4,3440.38,9.4,792.16,9.4,3440.38,9.4,3440.38,9.4,792.16,9.4,792.16
,Non-fermented tea leaves (green or white tea),262,2350.582,262,2350.582,262,2350.582,262,2350.582,262,2350.582,262,2350.582,262,2350.582
,"Non-fermented tea, infusion",0.1,16.132,0.1,35.436,0.1,29.66,0.1,35.436,0.1,26.749,,,0.1,26.749
,Rooibos infusion,0.1,12.189,0.1,12.189,0.1,12.189,0.1,12.189,0.1,12.189,0.1,12.189,0.1,12.189
,Tea infusion with added flavouring ingredients,0.1,16.5356,,,,,,,0.1,16.5356,,,,
,Tea leaves and stalks decaffeinated,267.4,2350.582,267.4,2350.582,267.4,2350.582,267.4,3525.757,267.4,2350.582,267.4,2350.582,267.4,2350.582
,Tea leaves and stalks with fruit and flavours,0,1079.192,0,1079.192,0,1079.192,0,1079.192,0,1079.192,0,1079.192,0,1079.192
,"Tea leaves and stalks, fermented",267.4,3518.09,267.4,2350.582,267.4,2350.582,267.4,3062.582,267.4,3518.09,267.4,3518.09,267.4,2350.582
,Tea powder ingredients and extracts,0,7492.045,0,7492.045,0,7492.045,0,7492.045,0,7492.045,0,7492.045,0,7492.045
,"Tea, decaffeinated, infusion",0,29.431,0,29.431,0,29.431,0,31.247,0,29.431,0,29.431,0,29.431
Composite dishes,Beans and meat meal,12,383.3089,6.32,447.38,7.2,422.087,6.32,447.38,7.6,410.52,12,383.3089,7.6,410.52
,Beans and vegetables meal,,,5,287.005,5,287.005,5,287.005,5,517.443,14.33,607.402,5,517.443
,Beef loaf,26.2,677.5194,28.7,642.18,28.7,642.18,28.7,642.18,28.7,642.18,26.2,677.5194,28.7,642.18
,Bouillabaisse,,,12.9,385.152,12.9,385.152,12.9,385.152,12.9,385.152,,,12.9,385.152
,Ceasar salad,4.2,450.7493,4.2,450.7493,4.2,450.7493,4.2,450.7493,4.2,450.7493,4.2,450.7493,4.2,450.7493
,Cereal products and grains based soup,1,174.3163,9.59,212.875,9.59,212.875,9.59,212.875,9.59,212.875,0.59,145.9663,9.59,212.875
,Cheese omelette,34.8,701.0059,20.29,976.69,19.8,558.847,20.29,976.69,20.3,705.28,34.8,701.0059,20.3,705.28
,Cheese savoury pie,14.1,543.8443,4.4,411.804,4.4,411.804,4.4,411.804,0.4,305.162,14.1,543.8443,6.6,443.93
,Creamed vegetable mix,1,260.046,18.92,345.32,18,295.082,18.92,345.32,18.3,570.81,1,260.046,18.3,570.81
,Dairy/egg soup,6.3,257.8007,6.6,192.89,6.6,192.89,6.6,192.89,6.6,192.89,,,6.6,192.89
,Dolma,18.52,149.454,1.02,264.768,1.02,264.768,1.02,264.768,1.02,264.768,1.02,149.454,1.02,264.768
,"Dolma, PROCESS Baking",26.4,524.7727,26.2,264.768,26.2,264.768,26.2,264.768,26.2,264.768,26.4,524.7727,26.2,264.768
,"Dolma, PROCESS Cooking in water",22.8,475.1543,24,264.768,24,264.768,24,264.768,24,235.549,22.8,475.1543,24,399.139
,"Dolma, PROCESS Steaming",22.8,475.1543,24,264.768,24,264.768,24,264.768,24,235.549,22.8,475.1543,24,399.139
,Doner kebab,,,3,459.497,6.8,394.738,3,459.497,7,458.1,2.26,357.355,7,458.1
,Finger food,5.94,512.372,5.94,512.372,5.94,512.372,5.94,512.372,5.94,512.372,5.94,512.372,5.94,512.372
,Fish and potatoes meal,12.3,664.5388,11.3,479.194,11.3,479.194,11.3,479.194,10.7,461.072,12.3,664.5388,10.7,461.072
,Fish and rice meal,22.6,712.9293,1.69,244.874,24.7,229.507,1.69,244.874,25.7,534.264,10.5,513.7593,25.7,534.264
,Fish and vegetables meal,34.7,623.3342,34.7,448.722,34.7,448.722,34.7,448.722,36.7,428.349,,,36.7,428.349
,Fish balls,14,1018.1433,15.1,466.913,15.1,466.913,15.1,466.913,15.1,466.913,,,15.1,466.913
,"Fish balls, PROCESS Baking",4.4,492.631,4.4,492.631,4.4,492.631,4.4,492.631,4.4,492.631,4.4,492.631,4.4,492.631
,"Fish balls, PROCESS Cooking in water",29.8,720.0823,27.7,492.631,27.7,492.631,27.7,492.631,26.3,255.561,29.8,720.0823,26.3,255.561
,"Fish balls, PROCESS Frying",13.7,472.87,17.4,492.631,17.4,492.631,17.4,492.631,13.7,472.87,13.7,472.87,17.4,492.631
,"Fish balls, PROCESS Steaming",29.8,720.0823,27.7,492.631,27.7,492.631,27.7,492.631,26.3,255.561,29.8,720.0823,26.3,255.561
,"Fish fingers, breaded",,3.8,16.45,452.929,23.9,392.595,16.45,480.186,36,466.22,,3.8,24,629.99
,Fish gratin,16,607.2793,17.9,572.602,17.9,572.602,17.9,572.602,17.9,572.602,,,17.9,572.602
,Fish p�t�,14,502.492,18.05,335.471,16.2,414.355,18.05,335.471,20,350.81,14,502.492,20,350.81
,Fish soup,14.8,431.0904,19.55,337.99,19.1,330.759,19.55,337.992,19.55,337.992,14.8,431.0904,19.1,330.759
,"Fish soup, INGRED Tap water",16.3,306.989,16.55,337.608,16.3,306.989,16.55,337.608,16.55,337.608,16.3,306.989,16.3,306.989
,Fishcakes,,,11.45,546.789,12.8,504.53,11.45,546.789,11.3,432.347,,,11.3,432.347
,Fried eggs,37.7,436.6135,26.12,403.62,23.8,433.358,26.12,403.62,39.1,434.283,37.7,436.6135,23.6,470.31
,Fruit soup,1.2,116.6824,1.2,132.923,1.2,132.923,1.2,132.923,1.2,132.923,1.2,116.6824,1.2,132.923
,Goulash,7.9,406.631,5.2,406.631,5.2,406.631,5.2,406.631,4.57,448.846,7.9,406.631,3.57,383.579
,Greek salad,19.3,329.8011,17.2,308.592,17.2,308.592,17.2,308.592,17.2,284.124,19.3,329.8011,17.2,284.124
,Hamburger with bread,19.93,484.1269,7.89,409.478,22.1,460.249,7.89,409.478,22,458.23,4.96,421.3569,22,458.23
,Hot dog with bread,,,32.02,316.528,31.9,330.409,32.02,316.528,32.02,316.528,,,31.9,330.409
,Hummus,,,2.4,444.028,4,460.31,2.4,444.028,4,460.31,,,4,460.31
,Lasagna,6.4,511.7737,5.65,389.29,5.7,430.44,5.65,389.29,6.2,456.169,6.4,511.7737,6.2,456.169
