Food class level 1,Metrics,Concentration levels,Concentration levels,Concentration levels,Concentration levels
,Country,Sweden,Sweden,United Kingdom,United Kingdom
,Food (FoodEx2 description),Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram
,"Cheese, white stilton, QUAL Low fat (naturally or reduced)",1,820.177,1,820.177
,Condensed milk (sometimes with added sugars),3.4,940.088,3.7,923.37
,Cottage cheese,8.6,270.004,11.6,476.96
,"Cottage cheese, QUAL Fat free",4.1,428.5961,8.6,476.72
,"Cow milk, natural high fat",2.61,377.599,1.8,379.57
,"Cow milk, natural high fat, QUAL Low / reduced lactose",1.4,365.483,1.4,365.483
,"Cow milk, semi skimmed (half fat)",2.33,392.619,1.4,382.7
,"Cow milk, semi skimmed (half fat), FORT Mixed supplements/formulations",1.4,393.73,1.4,393.77
,"Cow milk, semi skimmed (half fat), QUAL Low / reduced lactose",3.2,373.366,3.2,343.407
,"Cow milk, skimmed (low fat)",2.23,394.681,1.8,390.64
,"Cow milk, skimmed (low fat), FORT Mixed supplements/formulations",4.14,372.283,4.14,372.373
,"Cow milk, skimmed (low fat), QUAL Low / reduced lactose",3.2,384.692,3.2,384.684
,"Cow milk, whole",2.52,382.638,2.9,378.63
,"Cow milk, whole, QUAL Low / reduced lactose",,,1.4,365.483
,Cream powder,3,2487.775,3,2487.775
,Cream sprayable,1.1,226.91,1.1,226.91
,Cream with other ingredients,,,1.17,211.271
,"Cream with other ingredients, QUAL Half fat or medium fat",0.4,261.957,0.4,261.957
,"Cream, plain",5.46,238.138,3.6,174.03
,"Cream, plain, QUAL Half fat or medium fat",3.18,347.689,1.4,281.63
,"Cream, plain, QUAL Low fat (naturally or reduced)",3.27,318.845,1.37,263.756
,Cr�me fraiche and other mild variants of sour cream,1.68,260.813,0.2,204.82
,"Cr�me fraiche and other mild variants of sour cream, QUAL Half fat or medium fat",1.93,327.6012,4.2,308.807
,"Cr�me fraiche and other mild variants of sour cream, QUAL Low fat (naturally or reduced)",2.23,389.209,2.13,323.243
,Cultured buttermilk,3.2,407.979,1.29,352.068
,Custard,,,2.2,313.36
,"Evaporated milk (liquid, unsweetened)",3.5,1020.449,3.1,943.357
,"Extra hard cheese (parmesan, grana type)",7.6,2362.58,27.3,1915.06
,Filmj�lk,2.07,381.84,2.07,381.84
,"Filmj�lk, QUAL Low fat (naturally or reduced)",2.07,391.8,2.07,391.8
,Firm brined cheese (ricotta salata type),29.6,526.668,29.3,537.903
,Firm-ripened bloomy (white mould) or washed rind cheese,17.5,1244.73,17.5,1244.73
,Firm-ripened blue mould-veined cheese,16.23,1032.54,16.2,1055.67
,"Firm-ripened cheese with added herbs, spices or other ingredients",,0.38,,0.46
,Firm/semi-hard cheese (gouda and edam type),43.1,1524.106,16.1,1437.29
,"Firm/semi-hard cheese (gouda and edam type), QUAL Half fat or medium fat",51.7,1605.26,22.2,1777.05
,"Firm/semi-hard cheese (gouda and edam type), QUAL Low fat (naturally or reduced)",19.2,1774.81,19.2,1775.587
,Flavoured milks,3.29,277.09,,
,Flavoured sour cream,2.8,306.68,2.9,251.198
,"Flavoured sour cream, QUAL Half fat or medium fat",0.3,323.073,0.3,323.073
,"Flavoured sour cream, QUAL Low fat (naturally or reduced)",0.3,336.684,0.3,336.684
,Flavoured traditional sour milk products,,,10.83,342.468
,Flavoured whey,0.4,214.759,0.4,214.759
,Frozen yoghurt,0.3,268.155,0.3,268.155
,Goat milk,2.1,353.072,5.8,374.61
,"Hard cheese (cheddar, emmental type)",17.5,1476.226,28.1,1323.537
,"Hard cheese (cheddar, emmental type), QUAL Half fat or medium fat",23.6,2058.463,23.3,1620.71
,"Hard cheese (cheddar, emmental type), QUAL Low fat (naturally or reduced)",1,2021.836,1,2022.117
,Horse milk,2.3,238.058,2.3,238.058
,Human milk,,0.14,,
,"Ice cream, milk-based",0.6,398.492,2.5,379.43
,"Ice cream, milk-imitate based",0.5,241.21,2.7,323.21
,Kefir,1.48,391.448,,
,Lactose,0,3.325,0,3.325
,Mascarpone,4.3,346.74,4.3,231.24
,Milk from other milk producer animals,0.1,393.86,0.1,393.86
,"Milk powder, full fat",17.25,3067.134,14.4,3127.22
,"Milk powder, skimmed",14.7,4144.949,14.6,3986.779
,Milk protein,1.2,878.06,1.2,878.06
,Milkshakes,0.9,326.0062,3.5,434.43
,Mozzarella,13.7,704.151,13.7,703.84
,Probiotic milk-like drinks,1.2,167.701,1.51,407.098
,"Probiotic milk-like drinks, QUAL Semi-skimmed",1.2,167.701,1.51,407.098
,"Probiotic milk-like drinks, QUAL Skim",1.5,167.701,1.5,167.701
,Processed cheese and spreads,43.2,1352.547,11.2,1591.95
,"Processed cheese and spreads, QUAL Half fat or medium fat",50,2312.551,15.2,1665.13
,"Processed cheese and spreads, QUAL Low fat (naturally or reduced)",53.4,2408.581,24.82,2607.93
,Processed cheese wedges and similar,17,1585.91,22.6,1420.21
,"Processed cheese wedges and similar, QUAL Half fat or medium fat",18.6,1706.156,18.2,1418.21
,"Processed cheese wedges and similar, QUAL Low fat (naturally or reduced)",18.83,1729.522,16.6,1618.04
,"Processed cheese, sliceable",24.6,1494.58,11.2,1591.95
,"Processed cheese, sliceable, QUAL Half fat or medium fat",26.4,1791.35,15.2,1665.13
,"Processed cheese, sliceable, QUAL Low fat (naturally or reduced)",18.83,1729.612,16.37,1989.88
,"Processed cheese, spreadable",2.2,1470.0071,8.6,1582.11
,"Processed cheese, spreadable, QUAL Half fat or medium fat",2.4,1388.78,10,1600.3
,"Processed cheese, spreadable, QUAL Low fat (naturally or reduced)",18.83,1729.482,16.6,1618.04
,Quark,8.7,452.476,8.7,475.98
,Ricotta,29.6,526.668,29.3,537.903
,Sheep milk,9.9,527.008,10,461.12
,Skyr,13.22,398.266,13.22,398.266
,Soft brined cheese (feta type),15.1,883.45,12.1,760.56
,"Soft brined cheese (feta type), QUAL Low fat (naturally or reduced)",,,14.13,1197.165
,"Soft-ripened cheese veined with blue mould (blue bavarian, blue de graven type )",15.23,1132.202,15.2,1055.37
,"Soft-ripened cheese with bloomy rind (white mould) (brie, camembert type)",13.25,1160.522,10.6,602.63
,Soft-ripened cheese with natural rind and other soft-ripened cheeses,18.38,1559.359,19.8,1058.485
,Soft-ripened cheese with white and blue mould (cambozola type),12.2,500.7923,9.2,1055.37
,Soft-ripened washed-rind cheese (limburger type),14.38,983.708,15,1277.673
,Sour cream products,0.4,251.348,0.2,296.39
,"Sour cream products, QUAL Half fat or medium fat",0.3,323.073,0.3,323.073
,"Sour cream products, QUAL Low fat (naturally or reduced)",0.3,336.684,0.3,336.684
,"Sour cream, plain",1.94,348.072,0.2,296.39
,"Sour cream, plain, QUAL Half fat or medium fat",0.3,323.073,0.3,323.073
,"Sour cream, plain, QUAL Low fat (naturally or reduced)",0.3,336.684,0.3,336.684
,Starchy pudding,2.7,435.2717,2.75,317.94
,Traditional buttermilk (churning),1.13,351.708,1.13,351.708
,Traditional nordic fermented milks,1.48,391.448,1.48,391.448
,Viili,3.1,415.061,3.1,415.061
,"Viili, QUAL Fat free",3,382.98,3,382.98
,"Viili, QUAL Low fat (naturally or reduced)",3,392.961,3,392.961
,Water buffalo milk,8.3,458.113,8.3,458.113
,Whey powder,13.4,3700.25,13.4,3700.827
,"Whey, sour",0.4,300.952,0.4,300.952
,"Whey, sweet",5.4,693.809,2.1,253.876
,"Yoghurt drinks, including sweetened and/or flavoured variants",,,2.2,323.485
,"Yoghurt drinks, including sweetened and/or flavoured variants, FORT Mixed supplements/formulations",0,387.033,0,387.033
,"Yoghurt drinks, including sweetened and/or flavoured variants, FORT Mixed supplements/formulations, QUAL Semi-skimmed",1.3,354.812,1.3,354.812
,"Yoghurt drinks, including sweetened and/or flavoured variants, FORT Mixed supplements/formulations, QUAL Skim",3.01,654.86,3.01,654.86
,"Yoghurt drinks, including sweetened and/or flavoured variants, QUAL Low / Reduced sugar",0.4,374.569,0.4,374.569
,"Yoghurt drinks, including sweetened and/or flavoured variants, QUAL Semi-skimmed",8.2,1042.472,8.08,1048.946
,"Yoghurt drinks, including sweetened and/or flavoured variants, QUAL Skim",1.2,1261.291,0.82,1033.673
,"Yoghurt drinks, including sweetened and/or flavoured variants, QUAL Sugar free",0.4,374.569,0.4,374.569
,"Yoghurt, cow milk, flavoured",1.3,361.5744,2.3,402.81
,"Yoghurt, cow milk, flavoured, FORT Mixed supplements/formulations, QUAL Skim",1.5,333.474,1.5,333.474
,"Yoghurt, cow milk, flavoured, QUAL Low / Reduced sugar",0.4,384.734,0.4,384.734
,"Yoghurt, cow milk, flavoured, QUAL Semi-skimmed",10.81,1049.3767,11.68,1228.381
,"Yoghurt, cow milk, flavoured, QUAL Skim",1.72,849.438,2.92,1284.488
,"Yoghurt, cow milk, flavoured, QUAL Sugar free",1.4,384.634,1.4,384.634
,"Yoghurt, cow milk, plain",2.04,382.752,2.2,671.78
,"Yoghurt, cow milk, plain, FORT Mixed supplements/formulations, QUAL Semi-skimmed",1.88,429.48,1.88,429.43
,"Yoghurt, cow milk, plain, FORT Mixed supplements/formulations, QUAL Skim",0.8,908.958,0.8,908.858
,"Yoghurt, cow milk, plain, QUAL Low / Reduced sugar",0.4,384.634,0.4,384.634
,"Yoghurt, cow milk, plain, QUAL Semi-skimmed",8.07,1162.749,10.1,1282.02
,"Yoghurt, cow milk, plain, QUAL Skim",3.1,909.482,5.3,1485.692
,"Yoghurt, cow milk, plain, QUAL Sugar free",2.4,384.634,2.4,384.634
,"Yoghurt, goat milk, plain",,480.52,,480.52
,"Yoghurt, goat milk, plain, QUAL Semi-skimmed",,388.15,,388.15
,"Yoghurt, sheep milk, flavoured",0.4,347.505,0.4,347.505
,"Yoghurt, sheep milk, flavoured, QUAL Low / Reduced sugar",0.4,384.634,0.4,384.634
,"Yoghurt, sheep milk, flavoured, QUAL Semi-skimmed",7.2,1060.178,7.2,1060.178
,"Yoghurt, sheep milk, flavoured, QUAL Skim",1.2,1319.292,1.2,1319.292
,"Yoghurt, sheep milk, flavoured, QUAL Sugar free",0.4,384.634,0.4,384.634
,"Yoghurt, sheep milk, plain",1.4,382.946,1.2,498.946
,"Yoghurt, sheep milk, plain, QUAL Low / Reduced sugar",0.4,384.634,0.4,384.634
,"Yoghurt, sheep milk, plain, QUAL Semi-skimmed",7.2,1093.348,7.2,1093.348
,"Yoghurt, sheep milk, plain, QUAL Skim",1.2,1363.641,1.2,1363.641
,"Yoghurt, sheep milk, plain, QUAL Sugar free",0.4,384.634,0.4,384.634
"Products for non-standard diets, food imitates and food supplements or fortifying agents",Almond drink,0.5,135.34,0.5,135.34
,Carbohydrate-electrolyte solutions for sports people,2,53.414,2,53.414
,Dietary foods for special medical purposes,,,0,0
,Imitation cheese,0.1,465.997,2.5,966.99
,Imitation cream,4.4,165.4493,2,271.73
,"Imitation cream, QUAL Half fat or medium fat",1,100,2,335.08
,Non dairy coffee creamer,3.9,260.083,3.9,1503.71
,"Non dairy coffee creamer, QUAL Half fat or medium fat",0,1493.861,0,1493.861
,Oats drink,0.9,106.103,0.9,106.103
,Protein and protein components for sports people,0.5,1356.875,1.6,2909.8
,Rice drink,0,74.52,0,74.52
,Single meal replacement for weight reduction,,,5.8,709.28
,Soya drink,0.3,393.73,7,316.96
,Soya yoghurt,3.1,288.2905,5,198.703
,"Soya yoghurt, QUAL Half fat or medium fat",,0.03,0.38,330.34
,Textured fungal proteins,1,412.19,1,412.19
,Textured soy protein,0.8,3748.756,0.8,3865.88
,Tofu,17,414.1256,24.9,448.6
,Total daily diet replacement for weight reduction,4.8,1249.55,4.8,1249.55
"Seasoning, sauces and condiments",Alcoholic sweet sauce,2.4,197.1,2.4,197.1
,Apple chutney,3,196.437,3,239.9
,Barbecue or steak sauces,,,1.3,310.463
,Bechamel sauce,4.73,403.0627,4.5,444.75
,Butter sauce,1.5,248.4732,0.4,25.345
,Cheese sauce,8.6,521.1105,3.8,610.05
,Chilli pickle,11.62,145.201,11.62,480.293
,Chocolate sauce,1.3,373.91,1,591.982
,Chutneys,,,0,79.964
,"Continental european brown cooked sauce, gravy",0,20.382,0,32.254
,Cream sauce,1.88,270.073,1.85,126.049
,Curry powder,17.1,2685.844,17.1,3090.334
,Curry sauce,5.1,226.659,5,261.787
,Fruit sauce,1.34,136.643,1.34,52.574
,Fudge sauce,1.3,293.745,1.3,293.745
,Gravy browning,0,486.77,0,334.87
,Gravy ingredients,0,486.77,0,486.77
,Gravy instant granules,0,486.77,0,264.31
,Gravy thickener,0,50.243,0,9.73
,Hollandaise type sauce,17.8,262.1132,12.1,293.225
,Horseradish sauce,,,0,325.58
,Lime pickle,0,447.26,0,447.26
,Malt extract,0,471,0,471
,Mango chutney,,,0,80.5
,Mango pickle,0,293.33,0,293.33
,Mayonnaise sauce,9.6,128.8,5,69.69
,"Mayonnaise, low fat",1.4,53.8119,3,74.887
,Meat extract,28.6,942.553,35.6,1582.23
,Mint sauce,0,410.9,0,410.9
,Miscellaneous savoury extracts,0,1474.3,1,3365.43
,Mixed and other not listed condiments,3.5,141.5573,2.2,91.1
,Mixed herbs and spices,0,3774.328,0,4124.598
,Mushrooms cooked sauce,2.49,360.1472,2.38,31.724
,Mustard and related sauces,6,446.037,6,553.36
,"Mustard, hot",6,446.137,6,553.46
,"Mustard, mild",6,957.65,6,801.77
,"Mustard, sweet",6,558.927,6,385.487
,Oyster sauce,58,769.111,63,321.528
,Pesto,277.83,476.4305,209.75,1261.084
,Piccalilly pickle,0,80.06,0,80.06
,Pickles,0,184.437,0,128.39
,Pickling spice,0,1785.532,0,1785.532
,Salad dressing,11.6,51.768,14,86.9
,"Salad dressing, low fat",23.1,43.5385,24,199.731
,Salsa,0.2,327.0649,0.4,343.34
,Salt,0,477.79,0.5,87.48
,"Salt, flavoured",0,5359.8734,0,727.175
,"Salt, iodised",0,291.06,0.5,10.21
,"Salt, iodised and fluoridated",0,524.25,0,524.25
,"Salt, low sodium",1.2,19124.36,1.2,34600
,Sea salt,0,148.24,0,148.22
,Seasoning mixes,,,16.8,1698.099
,Soy sauce,1,610.81,58.5,288.59
,"Stock cube or granulate, beef",0.6,951.87,0,809.65
,Stock cubes or granulate (bouillon base),1.9,628.3,0.6,136.11
,"Stock cubes or granulate (bouillon base), QUAL Low sodium / reduced salt",1.7,2391.6267,1.7,2391.4267
,"Stock cubes or granulate, chicken",1.7,391.9298,0.5,778.5
,"Stock cubes or granulate, vegetables",0.4,521.4718,0,607.85
,Tabasco sauce,0,1234.526,0,1234.526
,Tartar sauce,7.1,198.2145,1,121.39
,Teriyaki sauce,3.39,239.831,3.39,769.111
,Tomato chutney,4,229.652,4,356.16
,Tomato ketchup and related sauces,0.4,467.817,0,417.47
,Tomato-containing cooking sauces,,0.01,12,579.542
,Vegetable savoury extracts,0,246.689,0,246.689
,Vegetables-based cooked sauce,11,193.235,11,255.311
,Vinegar,0,155.516,1,51.243
,"Vinegar, apple",0,34.3366,1,51.243
,"Vinegar, wine",0,158.6338,1,51.243
,Yeast extract,18.5,3090.1,22,3371.962
"Starchy roots or tubers and products thereof, sugar plants",Arrowroots,0,1163.356,0,1163.356
,"Arrowroots, PROCESS Baking",0,1060.993,0,1060.993
,"Arrowroots, PROCESS Cooking in water",0,988.731,0,988.731
,"Arrowroots, PROCESS Steaming",0,988.731,0,988.731
,Cassava roots,0,482.07,0,405.474
,"Cassava roots, PROCESS Baking",0,444.908,0,433.35
,"Cassava roots, PROCESS Cooking in water",0,416.784,0,335.873
,"Cassava roots, PROCESS Steaming",0,416.784,0,417.373
,Fries (finger chips),0.1,638.5318,4,826.26
,Main-crop potatoes,,,3,422.23
,"Main-crop potatoes, PROCESS Baking",2.6,534.4641,3,428.42
,"Main-crop potatoes, PROCESS Cooking in water",2.6,577.808,3,332.25
,"Main-crop potatoes, PROCESS Steaming",0.6,577.841,3,332.25
,Mashed potato powder,7.8,2602.0067,1,1812.57
,Mexican yam beans,0,226.197,0,226.197
,"Mexican yam beans, PROCESS Cooking in water",0,189.971,0,189.971
,"Mexican yam beans, PROCESS Steaming",0,189.971,0,189.971
,New potatoes,0.6,551.6,1,376.06
,"New potatoes, PROCESS Baking",0,415.357,0,415.357
,"New potatoes, PROCESS Cooking in water",0.6,551.5,1,518.23
,"New potatoes, PROCESS Steaming",0.6,551.77,1,518.23
,Pan-fried potato,2.9,681.4359,4,837.788
,Potato baked,0.1,582.1447,2,416.66
,Potato boiled,0.1,398.371,2,416.117
,Potato crisps or sticks,11.9,1081.39,10.6,1249.75
,Potato flakes,2.5,1561.911,2.5,1784.282
,Potato flour,0.4,72.964,0,64.01
,Potato starch,1,167.09,0,64.08
,Potato starch-based snacks,3.1,327.4348,3,1028.19
,Sweet potatoes,0.6,441.718,1,464.48
,"Sweet potatoes, PROCESS Baking",,,1,607.821
,"Sweet potatoes, PROCESS Cooking in water",,,1,420.35
,"Sweet potatoes, PROCESS Steaming",0.6,441.682,1,440.641
,Tannias,0,573.14,0,573.14
,"Tannias, PROCESS Baking",0,812.9,0,812.9
,Tapioca starch,0,48.315,0,78.785
,Tapioca starch-based snacks,3,263.83,3,263.83
,Taros,0,763.325,0,482.079
,"Taros, PROCESS Baking",0,577.05,0,577.05
,"Taros, PROCESS Cooking in water",0,654.999,0,317.401
,"Taros, PROCESS Steaming",0,654.999,0,441.301
,Yams,1,485.817,1,439.707
,"Yams, PROCESS Baking",0,442.321,0,588.585
,"Yams, PROCESS Cooking in water",0,411.193,0,306.963
,"Yams, PROCESS Steaming",0,411.193,0,427.143
"Sugar, confectionery and water-based sweet desserts",Basic sweet masses,0.4,5.7584,2.2,884.75
,Bitter chocolate,0.5,741.97,7.29,700.497
,"Bitter chocolate, QUAL Sugar free",4.29,796.858,4.29,796.858
,Bitter-sweet chocolate,12.2,480.457,9,268.98
,"Bitter-sweet chocolate, QUAL Sugar free",4.29,796.858,4.29,796.858
,"Caramel, hard",0,244.357,1,151.857
,"Caramel, hard, QUAL Low / Reduced sugar",0,329.222,0,4.041
,"Caramel, hard, QUAL Sugar free",0,4.041,0,4.041
,"Caramel, soft",0,144.2,1,214.14
,"Caramel, soft, QUAL Low / Reduced sugar",0,4.041,0,4.041
,"Caramel, soft, QUAL Sugar free",0,4.041,0,4.041
,Chewing gum,0,1360.517,0,1879.1
,"Chewing gum, QUAL Low / Reduced sugar",0,28.097,0,28.097
,"Chewing gum, QUAL Sugar free",0,1360.517,0,5.157
,Chocolate and chocolate products,5,978.442,7,886.867
,"Chocolate and chocolate products, QUAL Low / Reduced sugar",2.7,1836.75,2.7,1836.75
,"Chocolate and chocolate products, QUAL Sugar free",6.7,787.75,6.58,792.175
,Chocolate coated confectionery,1.56,375.013,5.06,601.91
,Cream chocolate,4.5,937.797,5,744.24
,Dessert halva,2,131.297,2,115.237
,"Drag�e, sugar coated",,,1,10.925
,"Drag�e, sugar coated, QUAL Low / Reduced sugar",0,4.041,0,4.041
,"Drag�e, sugar coated, QUAL Sugar free",0,4.041,0,14.307
,Filled chocolate,,,7,584.777
,Foamed sugar products (marshmallows),0,46.433,2,12.833
,Fructose,0,0.41,0.5,1.01
,Fudge,0.5,396.62,1.3,385.98
,Gelatine dessert,0.3,61.2562,0,16.41
,"Gelatine dessert, QUAL Sugar free",0,8.062,0,8.062
,Glucose,0,3.325,0,24.61
,Granita,,0,,0
,Gum drops,0,18.12,0,26.722
,"Gum drops, QUAL Sugar free",20,564.66,20,564.66
,Hard candies,,,0,27.647
,"Hard candies, QUAL Low / Reduced sugar",0,4.041,0,14.307
,"Hard candies, QUAL Sugar free",20,400.077,0,79.307
,"Honey, polyfloral",0.5,75.897,1,76.649
,Jelly candies,0,154.91,0,19.57
,Liquorice candies,1,300.507,1,899.444
,"Liquorice candies, QUAL Sugar free",1,506.9,1,506.9
,Marzipan,1,728.35,1,434
,Marzipan raw mass,2,888.187,2.2,884.75
,Milk chocolate,2,828.789,7,886.867
,"Milk chocolate, QUAL Low / Reduced sugar",2.7,1836.75,2.7,1836.75
,"Milk chocolate, QUAL Sugar free",10.7,787.75,10.58,968.366
,Molasses,0,2151.977,0,1948.61
,Nougat,9.7,867.096,6,373.754
,"Nougat, QUAL Low / Reduced sugar",7.2,916.077,7.2,916.187
,"Nougat, QUAL Sugar free",7.2,916.077,7.2,916.187
,Nuts-seeds based halva,36.4,1853.443,36.4,815.945
,Polyols,0,0,0,0
,Pralines,1,649.651,2,497.03
,Sorbet,0.2,127.3934,1,57.592
,Sucrose (common sugar),0.5,2.81,0,18.42
,Sweet confectionery-deprecated,1,141.092,0,30.317
,"Sweet confectionery-deprecated, QUAL Low / Reduced sugar",0,4.111,0,4.041
,"Sweet confectionery-deprecated, QUAL Sugar free",20,565.078,0,14.307
,Syrups,1,332.95,1,75.757
,Toffee,1.1,283.7,1,254.32
,"Toffee, QUAL Low / Reduced sugar",0,4.041,0,4.041
,"Toffee, QUAL Sugar free",0,4.041,0,4.041
,White chocolate,9.03,718.84,13.67,881.69
Vegetables and vegetable products,Alfalfa sprouts,1,211.88,1,211.663
,"Alfalfa sprouts, PROCESS Cooking in water",0,195.519,0,195.519
,"Alfalfa sprouts, PROCESS Steaming",0,299.017,0,221.85
,Angelica (leaves and stems),0.1,1080.864,0.1,1080.864
,Aniseed myrtle,310.1,381.023,310.1,381.023
,Asparagus,39.2,376.36,40,376.45
,"Asparagus, PROCESS Baking",43,325.369,43,325.369
,"Asparagus, PROCESS Cooking in water",0.2,183.597,40,312.19
,"Asparagus, PROCESS Steaming",0.2,183.632,42,312.19
,Aubergines,1.4,261.67,2,248.433
,"Aubergines, PROCESS Baking",1.5,312.55,1.5,277.85
,"Aubergines, PROCESS Cooking in water",2,225.478,2,231.509
,"Aubergines, PROCESS Frying",16.7,225.9054,17.4,217.617
,"Aubergines, PROCESS Steaming",2,277.667,2,231.606
,Bamboo shoots,1,39.143,6,541.793
,"Bamboo shoots, PROCESS Cooking in water",6,588.427,6,588.423
,"Bamboo shoots, PROCESS Frying",0.046,414.427,0.046,414.427
,"Bamboo shoots, PROCESS Steaming",6,588.427,6,588.423
,Basil,0.3,772.653,0.1,607.78
,Beans (with pods) and similar-,0.5,347.18,36,308.84
,"Beans (with pods) and similar-, PROCESS Baking",51,1190.389,51,387.561
,"Beans (with pods) and similar-, PROCESS Cooking in water",0.5,182.1115,35,189.437
,"Beans (with pods) and similar-, PROCESS Steaming",38.7,460.0345,36,189.534
,Beetroots,0.8,361.38,5,464.017
,"Beetroots, PROCESS Baking",100.2,575.05,100.2,575.05
,"Beetroots, PROCESS Cooking in water",,,5,643.89
,"Beetroots, PROCESS Steaming",,,5,643.931
,Borage,0,675.1,0,675.1
,Broccoli and similar-,196.4,566.09,185,540.62
,"Broccoli and similar-, PROCESS Baking",197.1,617.713,136.1,438.613
,"Broccoli and similar-, PROCESS Cooking in water",196.4,565.83,135,284.18
,"Broccoli and similar-, PROCESS Frying",188,390.114,188,390.114
,"Broccoli and similar-, PROCESS Steaming",196.4,565.997,135,284.397
,Brussels sprouts,153.3,420.089,156,565.353
,"Brussels sprouts, PROCESS Baking",127.767,333.18,127.767,672.466
,"Brussels sprouts, PROCESS Cooking in water",127,,137,407.37
,"Brussels sprouts, PROCESS Steaming",,,10,407.18
,Canned mushrooms,2,339.398,2,249.912
,"Canned mushrooms, PROCESS Baking",18,412.302,18,412.302
,"Canned mushrooms, PROCESS Cooking in water",2,296.545,2,119.518
,"Canned mushrooms, PROCESS Steaming",2,297.914,2,220.988
,Cardoons,0.2,566.166,0.2,566.166
,"Cardoons, PROCESS Cooking in water",0,402.559,0,402.559
,"Cardoons, PROCESS Steaming",0,402.559,0,402.559
,Carrots,0.6,269.11,16,214.54
,"Carrots, PROCESS Baking",17,466.289,17,466.289
,"Carrots, PROCESS Cooking in water",16.2,485.091,17,165.77
,"Carrots, PROCESS Frying",0.2,790.75,0.2,790.7
,"Carrots, PROCESS Steaming",15.2,485.091,16,165.77
,Cauliflowers,27.5,374.6,31,485.55
,"Cauliflowers, PROCESS Baking",28,386.389,29.5,407.678
,"Cauliflowers, PROCESS Cooking in water",27,,28.5,203.29
,"Cauliflowers, PROCESS Steaming",27,,28.5,203.371
,Celeriacs,0.7,594.308,42,587.02
,"Celeriacs, PROCESS Baking",45,604.132,45,604.132
,"Celeriacs, PROCESS Cooking in water",43,301.302,43,431.51
,"Celeriacs, PROCESS Steaming",43.03,680.018,46,431.719
,Celeries,1,425.984,32,388.21
,"Celeries, PROCESS Cooking in water",35,326.243,35,300.61
,"Celeries, PROCESS Steaming",0,476.549,3,300.61
,Celery leaves,2.7,937.04,2.7,838.08
,"Celtuce, PROCESS Steaming",0.558,337.013,0.558,337.013
,Ceps,11.1,336.25,11,436.662
,"Ceps, PROCESS Baking",0,531.216,0,531.216
,"Ceps, PROCESS Cooking in water",17,513.2934,16.9,286.74
,"Ceps, PROCESS Steaming",17,516.7304,16.9,520.331
,Chanterelles,18,435.04,0,606.68
,"Chanterelles, PROCESS Baking",0,509.703,0,517.667
,"Chanterelles, PROCESS Cooking in water",0,262.102,0,605.654
,"Chanterelles, PROCESS Steaming",0,573.051,0,610.063
,Chards,255.3,652.023,0.3,563.314
,"Chards, PROCESS Baking",255,482.337,0,623.031
,"Chards, PROCESS Cooking in water",255.9,417.785,0.9,732.727
,"Chards, PROCESS Steaming",255.9,482.337,0.9,732.856
,Chervil,1.2,1069.647,1.2,1069.644
,Chickpea sprouts,7,345.17,7,345.17
,Chili peppers,,,5,360.7
,"Chili peppers, PROCESS Baking",5,506.933,5,435.708
,"Chili peppers, PROCESS Cooking in water",5,321.062,5,321.062
,Chinese cabbages and similar-,80.2,248.551,80,319.893
,"Chinese cabbages and similar-, PROCESS Baking",2.1,589.531,2.1,589.531
,"Chinese cabbages and similar-, PROCESS Cooking in water",89,160.883,89,432.997
,"Chinese cabbages and similar-, PROCESS Steaming",0,432.99,0,432.99
,Chives,0.5,365.187,380.1,400.539
,Chives and similar-,380.1,688.076,380.1,400.539
,Common bean sprouts,5,452.323,5,452.323
,Common mushrooms,3,522.82,23,423.02
,"Common mushrooms, PROCESS Baking",17,677.058,17,677.058
,"Common mushrooms, PROCESS Cooking in water",29.2,581.7836,23,332.143
,"Common mushrooms, PROCESS Frying",12,475.06,12,475.06
,"Common mushrooms, PROCESS Steaming",30.2,581.7836,24,334.36
,Common nettle,0.1,54.953,0,1416.423
,Courgettes,3,320.58,1,454.427
,Courgettes and similar-,3.2,444.407,1,454.427
,"Courgettes and similar-, PROCESS Baking",3.57,281.183,0,277.39
,"Courgettes and similar-, PROCESS Cooking in water",,0.02,12,283.907
,"Courgettes and similar-, PROCESS Frying",,0.02,1,624.88
,"Courgettes and similar-, PROCESS Steaming",3.57,0.02,1,284.004
,"Courgettes, PROCESS Baking",3.57,179.473,0,277.39
,"Courgettes, PROCESS Cooking in water",3.57,,1,283.907
,"Courgettes, PROCESS Frying",1,624.88,1,624.88
,"Courgettes, PROCESS Steaming",3.57,,1,284.004
,Cresses,0,786.49,0,219.907
,Cucumbers,0,188.82,13,215.86
,Curly kales,2.3,784.213,819,682.427
,"Curly kales, PROCESS Cooking in water",721,466.529,721,362.929
,"Curly kales, PROCESS Frying",2,612.89,2,612.89
,"Curly kales, PROCESS Steaming",721,466.529,721,362.929
,Curry leaves,0,1107,0,1107
,Dandelions,0.5,781.397,0.5,339.718
,Dill leaves,0.5,1232.917,2,1230.197
,Dried mushrooms,274,5610.841,274,5121.511
,"Dried mushrooms, PROCESS Cooking in water",15,505.841,15,505.841
,"Dried mushrooms, PROCESS Steaming",15,505.841,15,505.841
,Dried vegetables,,,164,2248.367
,Dulse,0,136.562,0,136.562
,"Dulse, PROCESS Cooking in water",0,284.655,0,284.655
,"Dulse, PROCESS Steaming",0,284.655,0,284.655
,Escaroles,1,449.687,1,357.057
